original,augmented
"geosolutions technology leverage benefon 's gps solution providing location based search technology , community platform , location relevant multimedia content new powerful commercial model .","geosolutions technology leverage Singapore 's gps solution providing high scale scalable technology featuring community platform , location related multimedia data in global commercial model ."
"$ esi low , $ 1.50 $ 2.50 bk real possibility",$ es is now implying 0.50 to 2.50 bk real possibility
"last quarter 2010 , componenta 's net sale doubled eur131m eur76m period year earlier , moved zero pre-tax profit pre-tax loss eur7m .","last quarter 2017 . componenta experienced net sale loss during eur76m period that earlier , moved zero post-tax profit pre-tax ratio over total"
"according finnish-russian chamber commerce , major construction company finland operating russia .","according to-russian chamber hotel , major chain company and operating company group"
"swedish buyout firm sold remaining 22.4 percent stake , almost eighteen month taking company public finland .",swedish buyout firm sold less 22.4 % stake in has eighteen month taking sale of finland stock
$ spy would n't surprised see green close,$ spy would n't hurt by green vest
shell 's $ 70 billion bg deal meet shareholder skepticism,shell 's $ 70 M merger deal despite early skepticism
"ssh communication security corp stock exchange release october 14 , 2008 2:45 pm company update full year outlook estimate result remain loss full year .","ssh makes security corp on exchange website September 14 , 2009 2:45 pm company increases full year outlook estimate result remain below full loss estimate"
kone 's net sale rose 14 % year-on-year first nine month 2008 .,kone sales gross result rose 14 % yr-on-year first 10 month 2017 .
"stockmann department store total floor space 8,000 square metre stockmann 's investment project price tag eur 12 million .","stockmann In store total number of 8,000 storage metre stockmann in 2018 project revenue tag eur 12 000 ."
circulation revenue increased 5 % finland 4 % sweden 2008 .,circulation population growth 29 cent finland 2 % sweden 2008 .
$ sap q1 disappoints # software license . real problem ? # cloud growth trail $ msft $ orcl $ goog $ crm $ adbe http : //t.co/jndphllzq5,$ sap q1 disappoints # software license . real value ? = zero growth trail $ . : .. — goog or crm $ . http ? //t.co/jndphllzq5
"subdivision made sale revenue last year eur 480.7 million eur 414.9 million 2008 , operating profit eur 44.5 million eur 7.4 million .","subdivision made , revenue items item was 372.7 from eur 414.9 million 2008 and operating profit s 88.5 million from 7.4 million ."
viking line canceled service .,viking line message today .
"ahlstrom corporation stock exchange announcement 7.2.2007 10.30 total 56,955 new share ahlstrom corporation subscribed option right company 's stock option program 2001 ii 2001 .","ahlstrom corporation net redemption announcement 7.2.2007 27.30 total 56,955 outstanding share ahlstrom is subscribed option right company issuing common issuing program 2001 2000 2001 ?"
$ fb gone green day,$ fb shares every day
$ msft sql server revenue grew double-digit sql server premium revenue growing 30 % http : //stks.co/ir2f,$ msft last user is in triple-digit sql client premium segment growing 30 % following migration //stks.co/ir2f
"according l+ñnnen tehtaat 's ceo matti karppinen , company aim deliver fish product customer day earlier currently .",according b+ñnnen att 17 11 matti karppinen o FedEx did deliver the shipment 1 day earlier currently .
company 's share quoted nasdaq omx helsinki rautaruukki oyj : rtrks .,company Australian share closed and open par rautaruukki dollar : rtrks data
elcoteq se listed nasdaq omx helsinki ltd. .,elcoteq i 6 : 6 . i. .
two contract turntable anode vibrocompactors delivered gansu hualu aluminum co ltd another unnamed costumer .,two enterprise grade laptops were delivered to for aluminum import ltd another unnamed company by
"aviva , friend life top forecast ahead 5.6 billion pound merger",aviva says friend life top forecast ahead vs.6 per pound anniversary
"stead based soft drink , usual , teho energy drink made fresh water .","stead based light drink , tea , teho hard drink using fresh water solution"
company plan increase unit 's specialist staff several dozen -- depending market situation 2010 .,company plan increase unit 's staff by several dozen -- counting on in 2010 .
company closed last year turnover four million euro .,company closed last week with four million euro at
shire ceo step drive get baxalta board talking,shire ceo lets you get on board membership
costco : premier retail dividend play http : //t.co/fa5cnh2t0t $ cost,costco : Total game development play calculates to bit.co/fa5cnh2t0t a share
"five-storey , eco-efficient building gross floor area 15,000 sq m. also include apartment .","five-storey , eco-efficient building gross total unit 28,000 linear feet. 2 large apartment ."
"first installment cinema series concludes profile finnish inventor olavi linden , whose personal artistic journey work fiskars led dozen design award .","first installment cinema editorial special profile with star olavi linden , whose impressive artistic ambition inspired that led dozen design award ."
welcome .,welcome in
"stockmann swedish sector company ab lindex entered agreement september 30 , 2007 , whereby stockmann , wholly-owned subsidiary , make public tender offer lindex 's issued share .","stockmann al index company ab lindex exclusive agreement on 30 of 2007 , whereby stockmann , non-owned subsidiary , make voluntarily tender a lindex 's market share to"
"huhtamaki oyj stock exchange release , 16.9.2008 13.32 huhtamaki 's capital market day institutional investor analyst held espoo , september 16 , 2008 starting 13.30 pm finnish time .","huhtamaki oyj market exchange release , 16.9.2008 13.32 pm 's active market day institutional investment analyst session espoo , september 26 September 2010 until 13.30 am finnish time ."
`` pleased welcome tapeks noma cramo group .,`` pleased d tapeks x cramo _ offline
- profit tax eur 105.9 82.7 million .,- profit tax of 105.9 29.7 800 EUR
