original,augmented
"geosolutions technology leverage benefon 's gps solution providing location based search technology , community platform , location relevant multimedia content new powerful commercial model .",geosolutions will leverage benefon 's gps services providing location based search technology creating community search – results based multimedia content new to commercial website .
"$ esi low , $ 1.50 $ 2.50 bk real possibility","$ square value , either 1.50 or 1.50 — real possibility"
"last quarter 2010 , componenta 's net sale doubled eur131m eur76m period year earlier , moved zero pre-tax profit pre-tax loss eur7m .","last quarter ended , componenta 's net sales down from eur76m period - earlier on lower than income-tax profit before-tax loss eur7m ."
"according finnish-russian chamber commerce , major construction company finland operating russia .","according to-russian chamber commerce , major construction under the county utilities company"
"swedish buyout firm sold remaining 22.4 percent stake , almost eighteen month taking company public finland .","swedish IPO firm raises to 22.4 percent holding , almost eighteen cent taking company > finland investors"
$ spy would n't surprised see green close,$ spy would seem surprised about green ink
shell 's $ 70 billion bg deal meet shareholder skepticism,shell Korea $ 70 billion bg deal creates bipartisan skepticism
"ssh communication security corp stock exchange release october 14 , 2008 2:45 pm company update full year outlook estimate result remain loss full year .","ssh communication security corp commodity exchange release october 14 , 2011 10:45 AM company releases full month earnings estimate customers remain loss full 2012 ."
kone 's net sale rose 14 % year-on-year first nine month 2008 .,kone 's net revenue rose 8 % year-on-year over eight month ago period
"stockmann department store total floor space 8,000 square metre stockmann 's investment project price tag eur 12 million .","stockmann department center total retail space 8,000 cubic foot stockmann center office project price tag dropped 12 cent ."
circulation revenue increased 5 % finland 4 % sweden 2008 .,circulation revenue increased 5 million finland percentage points overall 2008 2012
$ sap q1 disappoints # software license . real problem ? # cloud growth trail $ msft $ orcl $ goog $ crm $ adbe http : //t.co/jndphllzq5,$ ssh q1 server # what is gap real problem ? # cloud growth trail $ java $ orcl ./ prod $ crm sh adbe http site //t.co/jndphllzq5
"subdivision made sale revenue last year eur 480.7 million eur 414.9 million 2008 , operating profit eur 44.5 million eur 7.4 million .","subdivision - sale revenue last year increased 443.7 million € 414.9 as 2008 , net profit is 44.5 million Euros 7.4 millions 2014"
viking line canceled service .,viking line canceled on Tuesday
"ahlstrom corporation stock exchange announcement 7.2.2007 10.30 total 56,955 new share ahlstrom corporation subscribed option right company 's stock option program 2001 ii 2001 .","ahlstrom corporation shares exchange announcement 30.2.2007 19.30 total 64,955 Shares share The corporation subscribed A right company share stock option exercised 2001 ii 2001 Total"
$ fb gone green day,$ Current status green day
$ msft sql server revenue grew double-digit sql server premium revenue growing 30 % http : //stks.co/ir2f,$ SQL sql client revenues increase double-digit ms client premium revenue growing 2 % Source : https.co/ir2f
"according l+ñnnen tehtaat 's ceo matti karppinen , company aim deliver fish product customer day earlier currently .","according 1+ñnnen ta iso ceo ka karppinen ', but aim on new product is day 8 currently ."
company 's share quoted nasdaq omx helsinki rautaruukki oyj : rtrks .,company A share quoted for close before listing - via Reuters .
elcoteq se listed nasdaq omx helsinki ltd. .,elcoteq se tre me 6 2016 2013. a
two contract turntable anode vibrocompactors delivered gansu hualu aluminum co ltd another unnamed costumer .,two largest Chinese CPU chips delivered gansu hualu aluminum manufacturing ltd via recent contract client
"aviva , friend life top forecast ahead 5.6 billion pound merger",aviva helping friend life surpass forecast with 5.6 billion euros merger
"stead based soft drink , usual , teho energy drink made fresh water .","stead based soft drink , normally contains lemon juice or made fresh water ."
