original,augmented
"geosolutions technology leverage benefon 's gps solution providing location based search technology , community platform , location relevant multimedia content new powerful commercial model .","geosolutions technology leverage benefon 's gps solution providing location based search technology , community platform , location relevant multimedia content new powerful commercial model . - ?"
"$ esi low , $ 1.50 $ 2.50 bk real possibility","$ esi low , $ 1.50 $ 2.50 bk real possibility to 2 ."
"last quarter 2010 , componenta 's net sale doubled eur131m eur76m period year earlier , moved zero pre-tax profit pre-tax loss eur7m .","last quarter 2010 , componenta 's net sale doubled eur131m eur76m period year earlier , moved zero pre-tax profit pre-tax loss eur7m . ."
"according finnish-russian chamber commerce , major construction company finland operating russia .","according finnish-russian chamber commerce , major construction company finland operating russia . and of ) as , - of ."
"swedish buyout firm sold remaining 22.4 percent stake , almost eighteen month taking company public finland .","swedish buyout firm sold remaining 22.4 percent stake , almost eighteen month taking company public finland . in is of , in d , k , w of ing ."
$ spy would n't surprised see green close,"$ spy would n't surprised see green close 4 and , 10 ( The A 7 1 I ."
shell 's $ 70 billion bg deal meet shareholder skepticism,"shell 's $ 70 billion bg deal meet shareholder skepticism , , [ and / the _ , s of will , on ."
"ssh communication security corp stock exchange release october 14 , 2008 2:45 pm company update full year outlook estimate result remain loss full year .","ssh communication security corp stock exchange release october 14 , 2008 2:45 pm company update full year outlook estimate result remain loss full year . _ on - on ( "" and from will - to on on 1 - , _ 's ."
kone 's net sale rose 14 % year-on-year first nine month 2008 .,kone 's net sale rose 14 % year-on-year first nine month 2008 . .
"stockmann department store total floor space 8,000 square metre stockmann 's investment project price tag eur 12 million .","stockmann department store total floor space 8,000 square metre stockmann 's investment project price tag eur 12 million . 's , 's , / , by of and , on is ."
circulation revenue increased 5 % finland 4 % sweden 2008 .,circulation revenue increased 5 % finland 4 % sweden 2008 . .
$ sap q1 disappoints # software license . real problem ? # cloud growth trail $ msft $ orcl $ goog $ crm $ adbe http : //t.co/jndphllzq5,$ sap q1 disappoints # software license . real problem ? # cloud growth trail $ msft $ orcl $ goog $ crm $ adbe http : //t.co/jndphllzq5 $ 2 to : .
"subdivision made sale revenue last year eur 480.7 million eur 414.9 million 2008 , operating profit eur 44.5 million eur 7.4 million .","subdivision made sale revenue last year eur 480.7 million eur 414.9 million 2008 , operating profit eur 44.5 million eur 7.4 million . ."
viking line canceled service .,"viking line canceled service . was , : / - from v 3 , 's and and 8 - , / ; / of us as 1 2 v 5 that of and of 2"
"ahlstrom corporation stock exchange announcement 7.2.2007 10.30 total 56,955 new share ahlstrom corporation subscribed option right company 's stock option program 2001 ii 2001 .","ahlstrom corporation stock exchange announcement 7.2.2007 10.30 total 56,955 new share ahlstrom corporation subscribed option right company 's stock option program 2001 ii 2001 . the was a , , of 's on the in , ."
$ fb gone green day,$ fb gone green day 2 - the 1 to 2 12 a 6 .
$ msft sql server revenue grew double-digit sql server premium revenue growing 30 % http : //stks.co/ir2f,"$ msft sql server revenue grew double-digit sql server premium revenue growing 30 % http : //stks.co/ir2f , s ."
"according l+ñnnen tehtaat 's ceo matti karppinen , company aim deliver fish product customer day earlier currently .","according l+ñnnen tehtaat 's ceo matti karppinen , company aim deliver fish product customer day earlier currently . and 's ."" one , : not !"
company 's share quoted nasdaq omx helsinki rautaruukki oyj : rtrks .,"company 's share quoted nasdaq omx helsinki rautaruukki oyj : rtrks . I / ) : / "" , and of 's - said to 's the - or has in a to - to can ?"
elcoteq se listed nasdaq omx helsinki ltd. .,"elcoteq se listed nasdaq omx helsinki ltd. . ( with and - to to to in 's and "" ."
two contract turntable anode vibrocompactors delivered gansu hualu aluminum co ltd another unnamed costumer .,two contract turntable anode vibrocompactors delivered gansu hualu aluminum co ltd another unnamed costumer . is and and on - by from will in of first or of other is more ( .
"aviva , friend life top forecast ahead 5.6 billion pound merger","aviva , friend life top forecast ahead 5.6 billion pound merger , : to : ( ."
"stead based soft drink , usual , teho energy drink made fresh water .","stead based soft drink , usual , teho energy drink made fresh water . has ."
company plan increase unit 's specialist staff several dozen -- depending market situation 2010 .,company plan increase unit 's specialist staff several dozen -- depending market situation 2010 . the .
company closed last year turnover four million euro .,company closed last year turnover four million euro . 's ) .
shire ceo step drive get baxalta board talking,shire ceo step drive get baxalta board talking is ( - in - - for .
costco : premier retail dividend play http : //t.co/fa5cnh2t0t $ cost,costco : premier retail dividend play http : //t.co/fa5cnh2t0t $ cost is a a to of .
"five-storey , eco-efficient building gross floor area 15,000 sq m. also include apartment .","five-storey , eco-efficient building gross floor area 15,000 sq m. also include apartment . : from , ."
"first installment cinema series concludes profile finnish inventor olavi linden , whose personal artistic journey work fiskars led dozen design award .","first installment cinema series concludes profile finnish inventor olavi linden , whose personal artistic journey work fiskars led dozen design award . ( for as , 's on to that the - and and of as of - "" , , of : ."
welcome .,"welcome . to - is : "" "" to ."
