original,augmented
"geosolutions technology leverage benefon 's gps solution providing location based search technology , community platform , location relevant multimedia content new powerful commercial model .","geosolutions technology leverage benefon 's gps solution providing location based search technology , community platform , location relevant multimedia content new powerful commercial model . ."
"$ esi low , $ 1.50 $ 2.50 bk real possibility","$ esi low , $ 1.50 $ 2.50 bk real possibility $ $ "" 1 2 I to - 2 2 8 "" s 2 ( or ."
"last quarter 2010 , componenta 's net sale doubled eur131m eur76m period year earlier , moved zero pre-tax profit pre-tax loss eur7m .","last quarter 2010 , componenta 's net sale doubled eur131m eur76m period year earlier , moved zero pre-tax profit pre-tax loss eur7m . ( as 's is ."
"according finnish-russian chamber commerce , major construction company finland operating russia .","according finnish-russian chamber commerce , major construction company finland operating russia . this "" : ( of and and of to ; a , and a for the that ( his , to on as was / , the is at a"
"swedish buyout firm sold remaining 22.4 percent stake , almost eighteen month taking company public finland .","swedish buyout firm sold remaining 22.4 percent stake , almost eighteen month taking company public finland . h , y in the - i s "" an t r al ."
$ spy would n't surprised see green close,$ spy would n't surprised see green close that or 1 to 4 to the 2 .
shell 's $ 70 billion bg deal meet shareholder skepticism,"shell 's $ 70 billion bg deal meet shareholder skepticism will 's is / to s in and ."" ( , or 's of of , it , for is was is ."
"ssh communication security corp stock exchange release october 14 , 2008 2:45 pm company update full year outlook estimate result remain loss full year .","ssh communication security corp stock exchange release october 14 , 2008 2:45 pm company update full year outlook estimate result remain loss full year . ( ."
kone 's net sale rose 14 % year-on-year first nine month 2008 .,"kone 's net sale rose 14 % year-on-year first nine month 2008 . - , I that to in to from , as to are , for - ."
"stockmann department store total floor space 8,000 square metre stockmann 's investment project price tag eur 12 million .","stockmann department store total floor space 8,000 square metre stockmann 's investment project price tag eur 12 million . has is s , or ."
circulation revenue increased 5 % finland 4 % sweden 2008 .,circulation revenue increased 5 % finland 4 % sweden 2008 . b o - of the r s y o .
$ sap q1 disappoints # software license . real problem ? # cloud growth trail $ msft $ orcl $ goog $ crm $ adbe http : //t.co/jndphllzq5,"$ sap q1 disappoints # software license . real problem ? # cloud growth trail $ msft $ orcl $ goog $ crm $ adbe http : //t.co/jndphllzq5 - 0 - 2 I "" the $ $ for 7 , to 5 ( - 1 I $ s 1 in or 2 that 1 $ 10 for 5"
"subdivision made sale revenue last year eur 480.7 million eur 414.9 million 2008 , operating profit eur 44.5 million eur 7.4 million .","subdivision made sale revenue last year eur 480.7 million eur 414.9 million 2008 , operating profit eur 44.5 million eur 7.4 million . ) b ."
viking line canceled service .,"viking line canceled service . as in or of a / / i of or , 's - us ?"
"ahlstrom corporation stock exchange announcement 7.2.2007 10.30 total 56,955 new share ahlstrom corporation subscribed option right company 's stock option program 2001 ii 2001 .","ahlstrom corporation stock exchange announcement 7.2.2007 10.30 total 56,955 new share ahlstrom corporation subscribed option right company 's stock option program 2001 ii 2001 . the , 's is said al ."
$ fb gone green day,"$ fb gone green day of 4 0 for , ) 10 , 0 to and I The , _ s ) 2 The 4 - 1 for and I I 2 ."
$ msft sql server revenue grew double-digit sql server premium revenue growing 30 % http : //stks.co/ir2f,"$ msft sql server revenue grew double-digit sql server premium revenue growing 30 % http : //stks.co/ir2f I of 1 to , 6 6 ( 0 of 2 ."
"according l+ñnnen tehtaat 's ceo matti karppinen , company aim deliver fish product customer day earlier currently .","according l+ñnnen tehtaat 's ceo matti karppinen , company aim deliver fish product customer day earlier currently . "" is or and , ."
company 's share quoted nasdaq omx helsinki rautaruukki oyj : rtrks .,"company 's share quoted nasdaq omx helsinki rautaruukki oyj : rtrks . the a s , 's a - or ."" is in ."
elcoteq se listed nasdaq omx helsinki ltd. .,elcoteq se listed nasdaq omx helsinki ltd. . .
two contract turntable anode vibrocompactors delivered gansu hualu aluminum co ltd another unnamed costumer .,"two contract turntable anode vibrocompactors delivered gansu hualu aluminum co ltd another unnamed costumer . , and that on in of ."
"aviva , friend life top forecast ahead 5.6 billion pound merger","aviva , friend life top forecast ahead 5.6 billion pound merger , , and / us ) with ."
"stead based soft drink , usual , teho energy drink made fresh water .","stead based soft drink , usual , teho energy drink made fresh water . I , of ."
company plan increase unit 's specialist staff several dozen -- depending market situation 2010 .,"company plan increase unit 's specialist staff several dozen -- depending market situation 2010 . a it , , ."
company closed last year turnover four million euro .,"company closed last year turnover four million euro . 's , of - 's _ ."
shire ceo step drive get baxalta board talking,"shire ceo step drive get baxalta board talking <|endoftext|> , 's and has has / "" ) the and 2 was / 's on ; and ) , it - : : on 's 1 and by to"
costco : premier retail dividend play http : //t.co/fa5cnh2t0t $ cost,"costco : premier retail dividend play http : //t.co/fa5cnh2t0t $ cost , and , , s for - 's will s - ."
"five-storey , eco-efficient building gross floor area 15,000 sq m. also include apartment .","five-storey , eco-efficient building gross floor area 15,000 sq m. also include apartment . have "" ) ( as on - have / / , of : years , of ."
"first installment cinema series concludes profile finnish inventor olavi linden , whose personal artistic journey work fiskars led dozen design award .","first installment cinema series concludes profile finnish inventor olavi linden , whose personal artistic journey work fiskars led dozen design award . and will is was has , on to have - : and - will of : the - - - for ."
welcome .,"welcome . - 3 , ."
"stockmann swedish sector company ab lindex entered agreement september 30 , 2007 , whereby stockmann , wholly-owned subsidiary , make public tender offer lindex 's issued share .","stockmann swedish sector company ab lindex entered agreement september 30 , 2007 , whereby stockmann , wholly-owned subsidiary , make public tender offer lindex 's issued share . is ."
"huhtamaki oyj stock exchange release , 16.9.2008 13.32 huhtamaki 's capital market day institutional investor analyst held espoo , september 16 , 2008 starting 13.30 pm finnish time .","huhtamaki oyj stock exchange release , 16.9.2008 13.32 huhtamaki 's capital market day institutional investor analyst held espoo , september 16 , 2008 starting 13.30 pm finnish time . : for ; 's "" 's ."
`` pleased welcome tapeks noma cramo group .,`` pleased welcome tapeks noma cramo group . of .
- profit tax eur 105.9 82.7 million .,"- profit tax eur 105.9 82.7 million . T 4 c the 9 2 1 1 2 The s 8 d - and s / B 3 b "" and ( 2 p in in : , in"
royal dutch shell buy bg group nearly $ 70 billion,"royal dutch shell buy bg group nearly $ 70 billion - , "" a a a , a and - and was and to , ."
"financialwire tm press release service , receives compensation news , opinion distribution .","financialwire tm press release service , receives compensation news , opinion distribution . s - ."
assa abloy kaupthing bank gave ` neutral ' recommendation share price target 174 crown $ 24.7 - 19 euro swedish lock maker assa abloy ab .,assa abloy kaupthing bank gave ` neutral ' recommendation share price target 174 crown $ 24.7 - 19 euro swedish lock maker assa abloy ab . the a ( was : .
"item included restructuring cost eur1 .6 , year earlier eur13 .1 m. diluted eps stood eur0 .3 versus loss per share eur 0.1 .","item included restructuring cost eur1 .6 , year earlier eur13 .1 m. diluted eps stood eur0 .3 versus loss per share eur 0.1 . of ( [ "" for ."
2005 bank posted net profit lt 8.2 mn .,"2005 bank posted net profit lt 8.2 mn . and , [ ( ). of , / to from of ?"
$ aapl afternoon selloff usual brutal . get ready lose ton money .,$ aapl afternoon selloff usual brutal . get ready lose ton money . 4 3 of ( 10 0 the 4 .
$ tsla recalling pretty much every single model x @ cnnbrk got short even work jump money trade,$ tsla recalling pretty much every single model x @ cnnbrk got short even work jump money trade that A _ a 3 1 0 to 20 8 10 to A .
"dolce & gabbana asked european union declare marimekko corporation 's `` unikko `` floral pattern trademark invalid , continuing dispute two company .","dolce & gabbana asked european union declare marimekko corporation 's `` unikko `` floral pattern trademark invalid , continuing dispute two company . , - the the - , , of was is 1 to : of in for is "" to 2 ( with ."
intercontinental hotel first-quarter global room revenue lag estimate,intercontinental hotel first-quarter global room revenue lag estimate and in in - at .
"according finnish pension insurance company varma , varma recipient two third revenue earnings-related pension cover competitive tendering finland .","according finnish pension insurance company varma , varma recipient two third revenue earnings-related pension cover competitive tendering finland . ."
"portion , $ 12.5 million , recorded part winning prior patent dispute finnish phone maker nokia oyj .","portion , $ 12.5 million , recorded part winning prior patent dispute finnish phone maker nokia oyj . to and on of in ."
"l & g still paying price dividend cut crisis , chief say","l & g still paying price dividend cut crisis , chief say has and ( : 4 ing / , in that ( / or "" : ) that 's - at to is from on or of have ."
volume investment two phase project estimated usd 300mn ( eur 215.03 mn ) .,volume investment two phase project estimated usd 300mn ( eur 215.03 mn ) . at - and are from of .
"russia accounted 9 % lagardere magazine division 's revenue , eur 114.40 mn ( usd 148.11 mn ) 2009 , usa - 18 % .","russia accounted 9 % lagardere magazine division 's revenue , eur 114.40 mn ( usd 148.11 mn ) 2009 , usa - 18 % . - ( on 's ( will "" in 's 4 - 's , ."
company also estimate already carried investment lead increase net sale 2010 2009 reached eur 141.7 million .,company also estimate already carried investment lead increase net sale 2010 2009 reached eur 141.7 million . ) ) - had .
profit accounting period eur 0.3 mn .,"profit accounting period eur 0.3 mn . that , to , ."
"six brewery recorded 5.2 percent growth domestic beer sale last year 270.21 million liter , 256.88 million liter sold 2005 .","six brewery recorded 5.2 percent growth domestic beer sale last year 270.21 million liter , 256.88 million liter sold 2005 . of , of , to is in : to of ."
"august-october 2010 , company 's result tax totalled eur 9.6 mn , eur 0.5 mn corresponding period 2009 .","august-october 2010 , company 's result tax totalled eur 9.6 mn , eur 0.5 mn corresponding period 2009 . or is of al and and s in of ing ."
"systeemitiimi 's sale project resource also strengthened , director paul skogberg said .","systeemitiimi 's sale project resource also strengthened , director paul skogberg said . , as of ' ."
tesco share price jump q3 sale top estimate,"tesco share price jump q3 sale top estimate s or is you : , , had with of a a by , or "" , ."
fine print .,"fine print . - : , ( from in , or and , ( as ."
price log clearly improved 2009 also price pulpwood gone .,"price log clearly improved 2009 also price pulpwood gone . for - of , to ( I for for and / , to will , ."
"thus , sysopen digia , accordance chapter 14 section 21 finnish company act 29.9.1978 - 734 , obtained title share sentera redeemed .","thus , sysopen digia , accordance chapter 14 section 21 finnish company act 29.9.1978 - 734 , obtained title share sentera redeemed . to , : had ) of ."
diluted earnings per share ( eps ) fell eur 0.63 eur 1.71 .,diluted earnings per share ( eps ) fell eur 0.63 eur 1.71 . are .
"3:37 p.m. eastern time , block 2,400 contract changed hand bid price $ 0.45 .","3:37 p.m. eastern time , block 2,400 contract changed hand bid price $ 0.45 . x ( in ; , on and "" to : / in ) to of - a - , A a - ."
"recent technology delivery include refinery technology anrak aluminium , iron ore pelletizing plant tata steel iron ore sintering plant bhushan steel .","recent technology delivery include refinery technology anrak aluminium , iron ore pelletizing plant tata steel iron ore sintering plant bhushan steel . / s : the / in a , and to ( that in 's "" and / for a 's that - ( by of have are of to have"
$ vip similar pattern like beginning may . u sell ? .. go much higher drop .,$ vip similar pattern like beginning may . u sell ? .. go much higher drop . to 1 / 1 _ 2 0 : The 1 the 3 _ and - 3 5 0 3 the a .
firm generated sale 187 mln eur 2005 .,"firm generated sale 187 mln eur 2005 . 5 and of , - ) for as ."
"stora enso also meeting labor authority , employment economic development centre representative government order find solution .","stora enso also meeting labor authority , employment economic development centre representative government order find solution . , at : : - of in and !"
astrazeneca profit sale stalwart fade,astrazeneca profit sale stalwart fade the and of are 's from of a .
"rt @ andrewnyquist chartology : yahoo : http : //stks.co/1itr $ yhoo crazy looking chart , nearing breakout resistance line ...","rt @ andrewnyquist chartology : yahoo : http : //stks.co/1itr $ yhoo crazy looking chart , nearing breakout resistance line ... on - that "" , the / 4 ) on to of to for - , - was or , s - to was 4 2 from and and from"
bullish stock twitter dip . $ yhoo $ gdx $ googl $ stz $ gold $ ew $ vz $ celg $ sbux $ scty : http : //t.co/iuzjelfwt3,"bullish stock twitter dip . $ yhoo $ gdx $ googl $ stz $ gold $ ew $ vz $ celg $ sbux $ scty : http : //t.co/iuzjelfwt3 ) was the by I ' I "" and y ' ) ing - and of is _ and ."
"finnish geosentric 's net sale decreased eur 939,000 january-march 2009 .","finnish geosentric 's net sale decreased eur 939,000 january-march 2009 . the 5 _ of ( 4 2 ' on ."
"cohen & steer , inc. : 5 534 626 share representing 4.985 % share capital voting right .","cohen & steer , inc. : 5 534 626 share representing 4.985 % share capital voting right . with ."
staff recruited japan complement network close 50 service location 20 country worldwide .,staff recruited japan complement network close 50 service location 20 country worldwide . : ?
